easting,northing,elevation,bouguer_anomaly,unit
280.00,120.00,427.00740,-1.35408,mGal
320.00,120.00,426.98740,-1.17203,mGal
360.00,120.00,426.93160,-0.92897,mGal
400.00,120.00,426.97310,-0.72181,mGal
440.00,120.00,427.28540,-0.56791,mGal
480.00,120.00,428.64350,-0.45135,mGal
520.00,120.00,429.56120,-0.35805,mGal
560.00,120.00,431.50840,-0.28421,mGal
600.00,120.00,432.38590,-0.22480,mGal
0.00,160.00,430.42740,-0.38263,mGal
40.00,160.00,428.63960,-0.52473,mGal
80.00,160.00,426.94070,-0.73990,mGal
120.00,160.00,426.81730,-1.04197,mGal
160.00,160.00,426.98120,-1.36555,mGal
200.00,160.00,427.01270,-1.60135,mGal
240.00,160.00,427.00390,-1.71842,mGal
280.00,160.00,427.00340,-1.70264,mGal
320.00,160.00,426.99130,-1.51361,mGal
360.00,160.00,426.93790,-1.20658,mGal
400.00,160.00,426.90120,-0.92705,mGal
440.00,160.00,427.18730,-0.72498,mGal
480.00,160.00,428.78010,-0.57017,mGal
520.00,160.00,429.88050,-0.44265,mGal
560.00,160.00,432.07370,-0.34127,mGal
600.00,160.00,433.05250,-0.26195,mGal
0.00,200.00,430.78390,-0.40250,mGal
40.00,200.00,428.85640,-0.55664,mGal
80.00,200.00,426.96420,-0.79269,mGal
120.00,200.00,426.80730,-1.12717,mGal
160.00,200.00,426.96870,-1.48953,mGal
200.00,200.00,427.01220,-1.76060,mGal
240.00,200.00,427.00330,-1.90118,mGal
280.00,200.00,427.00400,-1.90937,mGal
320.00,200.00,426.99540,-1.75541,mGal
360.00,200.00,426.94320,-1.46791,mGal
400.00,200.00,426.87720,-1.17982,mGal
440.00,200.00,427.15010,-0.95207,mGal
480.00,200.00,428.80380,-0.74915,mGal
520.00,200.00,430.01430,-0.56286,mGal
560.00,200.00,432.38970,-0.41438,mGal
600.00,200.00,433.42220,-0.30461,mGal
0.00,240.00,431.00160,-0.40352,mGal
40.00,240.00,429.08670,-0.55490,mGal
80.00,240.00,427.01240,-0.78246,mGal
120.00,240.00,426.79130,-1.10451,mGal
160.00,240.00,426.93690,-1.47802,mGal
200.00,240.00,426.99560,-1.78370,mGal
240.00,240.00,427.00450,-1.95860,mGal
280.00,240.00,427.00500,-2.00529,mGal
320.00,240.00,427.00320,-1.92078,mGal
360.00,240.00,426.94940,-1.72452,mGal
400.00,240.00,426.84500,-1.51741,mGal
440.00,240.00,427.06110,-1.32811,mGal
480.00,240.00,428.74550,-1.05967,mGal
520.00,240.00,430.10430,-0.74627,mGal
560.00,240.00,432.91620,-0.51066,mGal
600.00,240.00,434.12480,-0.35251,mGal
0.00,280.00,430.91440,-0.38711,mGal
40.00,280.00,429.09960,-0.52461,mGal
80.00,280.00,427.05940,-0.72574,mGal
120.00,280.00,426.80660,-1.01167,mGal
160.00,280.00,426.93500,-1.37005,mGal
200.00,280.00,426.99200,-1.69164,mGal
240.00,280.00,427.00520,-1.90245,mGal
280.00,280.00,427.00610,-2.00846,mGal
320.00,280.00,426.99980,-2.01492,mGal
360.00,280.00,426.94850,-1.92685,mGal
400.00,280.00,426.83730,-1.84913,mGal
440.00,280.00,427.03680,-1.79228,mGal
480.00,280.00,428.70600,-1.49899,mGal
520.00,280.00,430.09120,-1.00714,mGal
560.00,280.00,433.08970,-0.62986,mGal
600.00,280.00,434.42190,-0.39752,mGal
0.00,320.00,430.72350,-0.35767,mGal
40.00,320.00,429.11630,-0.47504,mGal
80.00,320.00,427.14010,-0.64090,mGal
