X,Y,Z,TMI_nT,Std_nT
1211.80000,41823.00000,40.00000,7.75000,5.15500
1214.60000,41923.00000,40.00000,7.04000,5.14080
1217.40000,42023.00000,40.00000,10.43000,5.20860
1221.10000,42123.00000,40.00000,7.06000,5.14120
1225.80000,42223.00000,40.00000,5.66000,5.11320
1229.50000,42323.00000,40.00000,7.50000,5.15000
1231.30000,42423.00000,40.00000,11.52000,5.23040
1232.00000,42523.00000,40.00000,12.05000,5.24100
1232.00000,42623.00000,40.00000,9.98000,5.19960
1230.40000,42723.00000,40.00000,12.30000,5.24600
1225.50000,42823.00000,40.00000,17.25000,5.34500
1217.50000,42922.00000,40.00000,23.12000,5.46240
1308.00000,42970.00000,40.00000,23.80000,5.47600
1311.50000,42870.00000,40.00000,2.46000,5.04920
1314.40000,42770.00000,40.00000,4.24000,5.08480
1315.00000,42670.00000,40.00000,7.93000,5.15860
1314.10000,42570.00000,40.00000,7.88000,5.15760
1311.40000,42470.00000,40.00000,10.20000,5.20400
1307.60000,42370.00000,40.00000,9.95000,5.19900
1302.30000,42270.00000,40.00000,7.28000,5.14560
1297.30000,42170.00000,40.00000,7.70000,5.15400
1292.50000,42070.00000,40.00000,11.51000,5.23020
1287.60000,41970.00000,40.00000,11.46000,5.22920
1283.00000,41871.00000,40.00000,9.87000,5.19740
1279.10000,41771.00000,40.00000,11.40000,5.22800
1276.90000,41671.00000,40.00000,16.71000,5.33420
1276.70000,41571.00000,40.00000,25.00000,5.50000
1276.00000,41471.00000,40.00000,67.23000,6.34460
1277.00000,41371.00000,40.00000,212.21000,9.24420
1280.40000,41271.00000,40.00000,232.04000,9.64080
1285.00000,41171.00000,40.00000,102.90000,7.05800
1290.80000,41071.00000,40.00000,131.61000,7.63220
1295.80000,40971.00000,40.00000,172.62000,8.45240
1301.10000,40871.00000,40.00000,223.00000,9.46000
1305.50000,40771.00000,40.00000,279.96000,10.59920
1310.90000,40672.00000,40.00000,336.86000,11.73720
1315.20000,40572.00000,40.00000,394.29000,12.88580
1316.80000,40472.00000,40.00000,434.22000,13.68440
1315.50000,40372.00000,40.00000,465.28000,14.30560
1312.20000,40272.00000,40.00000,477.71000,14.55420
1307.80000,40172.00000,40.00000,507.05000,15.14100
1305.60000,40072.00000,40.00000,527.75000,15.55500
1378.00000,40047.00000,40.00000,465.30000,14.30600
1383.50000,40147.00000,40.00000,461.48000,14.22960
1391.10000,40246.00000,40.00000,440.09000,13.80180
1399.20000,40346.00000,40.00000,437.60000,13.75200
1403.30000,40446.00000,40.00000,433.88000,13.67760
1405.00000,40546.00000,40.00000,413.53000,13.27060
1405.00000,40646.00000,40.00000,375.65000,12.51300
1404.00000,40746.00000,40.00000,323.69000,11.47380
1402.70000,40846.00000,40.00000,264.23000,10.28460
1399.70000,40946.00000,40.00000,213.35000,9.26700
1396.90000,41046.00000,40.00000,169.86000,8.39720
1396.00000,41146.00000,40.00000,132.23000,7.64460
1395.00000,41246.00000,40.00000,101.79000,7.03580
1396.80000,41346.00000,40.00000,225.45000,9.50900
1398.00000,41446.00000,40.00000,78.16000,6.56320
1397.00000,41546.00000,40.00000,39.90000,5.79800
1394.60000,41646.00000,40.00000,27.22000,5.54440
1392.80000,41746.00000,40.00000,21.09000,5.42180
1390.10000,41846.00000,40.00000,15.36000,5.30720
1387.40000,41945.00000,40.00000,12.54000,5.25080
1384.60000,42045.00000,40.00000,10.34000,5.20680
1384.00000,42145.00000,40.00000,10.88000,5.21760
1385.00000,42245.00000,40.00000,9.18000,5.18360
1387.70000,42345.00000,40.00000,9.31000,5.18620
1391.60000,42445.00000,40.00000,9.77000,5.19540
1395.50000,42545.00000,40.00000,9.21000,5.18420
1399.00000,42645.00000,40.00000,10.14000,5.20280
1401.00000,42745.00000,40.00000,7.49000,5.14980
1403.90000,42845.00000,40.00000,12.91000,5.25820
1404.00000,42945.00000,40.00000,18.36000,5.36720
1502.00000,42967.00000,40.00000,18.70000,5.37400
1504.60000,42867.00000,40.00000,15.15000,5.30300
1506.20000,42767.00000,40.00000,11.23000,5.22460
1507.80000,42667.00000,40.00000,10.96000,5.21920
1510.50000,42567.00000,40.00000,11.51000,5.23020
1513.00000,42467.00000,40.00000,9.56000,5.19120
1515.00000,42367.00000,40.00000,11.50000,5.23000
1515.90000,42267.00000,40.00000,12.52000,5.25040
1513.50000,42167.00000,40.00000,13.68000,5.27360
1510.50000,42067.00000,40.00000,16.48000,5.32960
1505.80000,41967.00000,40.00000,20.67000,5.41340
1498.90000,41867.00000,40.00000,24.87000,5.49740
1492.50000,41768.00000,40.00000,27.76000,5.55520
1490.00000,41668.00000,40.00000,31.89000,5.63780
1487.80000,41568.00000,40.00000,40.34000,5.80680
1485.50000,41468.00000,40.00000,52.65000,6.05300
1484.00000,41368.00000,40.00000,134.54000,7.69080
1485.20000,41268.00000,40.00000,105.92000,7.11840
1488.80000,41168.00000,40.00000,131.78000,7.63560
1493.80000,41068.00000,40.00000,165.02000,8.30040
1497.10000,40968.00000,40.00000,207.19000,9.14380
