X,Y,Z,Anomalia_Bouguer_mGal,Error_Est
557220.00000,7133380.00000,427.00900,-0.97624,0.00000
557240.00000,7133380.00000,427.00590,-0.99206,0.00000
557260.00000,7133380.00000,427.00830,-0.98429,0.00000
557280.00000,7133380.00000,427.00830,-0.95270,0.00000
557300.00000,7133380.00000,427.00640,-0.90049,0.00000
557320.00000,7133380.00000,426.98800,-0.83384,0.00000
557340.00000,7133380.00000,426.94600,-0.76044,0.00000
557360.00000,7133380.00000,426.94600,-0.68697,0.00000
557380.00000,7133380.00000,426.91700,-0.61769,0.00000
557400.00000,7133380.00000,426.98400,-0.55457,0.00000
557420.00000,7133380.00000,427.23040,-0.49807,0.00000
557440.00000,7133380.00000,427.23040,-0.44739,0.00000
557460.00000,7133380.00000,427.71160,-0.40252,0.00000
557480.00000,7133380.00000,428.41720,-0.36252,0.00000
557500.00000,7133380.00000,429.27270,-0.32670,0.00000
557520.00000,7133380.00000,429.27270,-0.29356,0.00000
557540.00000,7133380.00000,430.16790,-0.26452,0.00000
557560.00000,7133380.00000,430.99880,-0.23830,0.00000
557580.00000,7133380.00000,431.71700,-0.21463,0.00000
557600.00000,7133380.00000,431.71700,-0.19284,0.00000
557000.00000,7133400.00000,429.42140,-0.32545,0.00000
557020.00000,7133400.00000,429.42140,-0.37333,0.00000
557040.00000,7133400.00000,428.12480,-0.42936,0.00000
557060.00000,7133400.00000,427.26220,-0.49557,0.00000
557080.00000,7133400.00000,426.85130,-0.57293,0.00000
557100.00000,7133400.00000,426.78520,-0.66134,0.00000
557120.00000,7133400.00000,426.78520,-0.75918,0.00000
557140.00000,7133400.00000,426.87450,-0.86196,0.00000
557160.00000,7133400.00000,426.96110,-0.96218,0.00000
557180.00000,7133400.00000,427.00610,-1.05026,0.00000
557200.00000,7133400.00000,427.00610,-1.11939,0.00000
557220.00000,7133400.00000,427.01100,-1.16715,0.00000
557240.00000,7133400.00000,427.00730,-1.19090,0.00000
557260.00000,7133400.00000,427.00920,-1.18539,0.00000
557280.00000,7133400.00000,427.00920,-1.14808,0.00000
557300.00000,7133400.00000,427.00900,-1.08162,0.00000
557320.00000,7133400.00000,426.98590,-0.99406,0.00000
557340.00000,7133400.00000,426.93620,-0.89692,0.00000
557360.00000,7133400.00000,426.93620,-0.80074,0.00000
557380.00000,7133400.00000,426.91440,-0.71211,0.00000
557400.00000,7133400.00000,427.00610,-0.63340,0.00000
557420.00000,7133400.00000,427.29500,-0.56458,0.00000
557440.00000,7133400.00000,427.29500,-0.50401,0.00000
557460.00000,7133400.00000,427.81450,-0.45102,0.00000
557480.00000,7133400.00000,428.54450,-0.40413,0.00000
557500.00000,7133400.00000,429.41870,-0.36234,0.00000
557520.00000,7133400.00000,429.41870,-0.32388,0.00000
557540.00000,7133400.00000,430.35650,-0.29028,0.00000
557560.00000,7133400.00000,431.26340,-0.26012,0.00000
557580.00000,7133400.00000,432.06730,-0.23305,0.00000
557600.00000,7133400.00000,432.06730,-0.20824,0.00000
557000.00000,7133420.00000,429.64780,-0.34699,0.00000
557020.00000,7133420.00000,429.64780,-0.40084,0.00000
557040.00000,7133420.00000,428.22580,-0.46500,0.00000
557060.00000,7133420.00000,427.30550,-0.54225,0.00000
557080.00000,7133420.00000,426.86120,-0.63431,0.00000
557100.00000,7133420.00000,426.79770,-0.74155,0.00000
557120.00000,7133420.00000,426.79770,-0.86205,0.00000
557140.00000,7133420.00000,426.88630,-0.98937,0.00000
557160.00000,7133420.00000,426.97050,-1.11292,0.00000
557180.00000,7133420.00000,427.01180,-1.21995,0.00000
557200.00000,7133420.00000,427.01180,-1.30268,0.00000
557220.00000,7133420.00000,427.01260,-1.36064,0.00000
557240.00000,7133420.00000,427.00460,-1.39278,0.00000
557260.00000,7133420.00000,427.00740,-1.39251,0.00000
557280.00000,7133420.00000,427.00740,-1.35408,0.00000
557300.00000,7133420.00000,427.00990,-1.27792,0.00000
557320.00000,7133420.00000,426.98740,-1.17203,0.00000
557340.00000,7133420.00000,426.93160,-1.05057,0.00000
557360.00000,7133420.00000,426.93160,-0.92897,0.00000
557380.00000,7133420.00000,426.89310,-0.81818,0.00000
557400.00000,7133420.00000,426.97310,-0.72181,0.00000
557420.00000,7133420.00000,427.28540,-0.63932,0.00000
557440.00000,7133420.00000,427.28540,-0.56791,0.00000
557460.00000,7133420.00000,427.85530,-0.50595,0.00000
557480.00000,7133420.00000,428.64350,-0.45135,0.00000
557500.00000,7133420.00000,429.56120,-0.40272,0.00000
557520.00000,7133420.00000,429.56120,-0.35805,0.00000
557540.00000,7133420.00000,430.53940,-0.31905,0.00000
557560.00000,7133420.00000,431.50840,-0.28421,0.00000
557580.00000,7133420.00000,432.38590,-0.25312,0.00000
557600.00000,7133420.00000,432.38590,-0.22480,0.00000
557000.00000,7133440.00000,430.00790,-0.36638,0.00000
557020.00000,7133440.00000,430.00790,-0.42573,0.00000
557040.00000,7133440.00000,428.41660,-0.49751,0.00000
557060.00000,7133440.00000,427.39210,-0.58530,0.00000
557080.00000,7133440.00000,426.90230,-0.69169,0.00000
557100.00000,7133440.00000,426.80960,-0.81750,0.00000
557120.00000,7133440.00000,426.80960,-0.95998,0.00000
557140.00000,7133440.00000,426.89580,-1.10953,0.00000
557160.00000,7133440.00000,426.97650,-1.25215,0.00000
557180.00000,7133440.00000,427.01400,-1.37400,0.00000
557200.00000,7133440.00000,427.01400,-1.46786,0.00000
557220.00000,7133440.00000,427.01160,-1.53396,0.00000
557240.00000,7133440.00000,427.00390,-1.57282,0.00000
557260.00000,7133440.00000,427.00590,-1.57897,0.00000
557280.00000,7133440.00000,427.00590,-1.54442,0.00000
557300.00000,7133440.00000,427.00880,-1.46658,0.00000
557320.00000,7133440.00000,426.98820,-1.35126,0.00000
557340.00000,7133440.00000,426.92960,-1.21186,0.00000
557360.00000,7133440.00000,426.92960,-1.06700,0.00000
557380.00000,7133440.00000,426.87930,-0.93402,0.00000
557400.00000,7133440.00000,426.93390,-0.81969,0.00000
557420.00000,7133440.00000,427.23700,-0.72326,0.00000
557440.00000,7133440.00000,427.23700,-0.64064,0.00000
557460.00000,7133440.00000,427.85790,-0.56905,0.00000
557480.00000,7133440.00000,428.72210,-0.50580,0.00000
557500.00000,7133440.00000,429.71990,-0.44922,0.00000
557520.00000,7133440.00000,429.71990,-0.39712,0.00000
557540.00000,7133440.00000,430.75800,-0.35160,0.00000
557560.00000,7133440.00000,431.77210,-0.31105,0.00000
557580.00000,7133440.00000,432.70280,-0.27512,0.00000
557600.00000,7133440.00000,432.70280,-0.24266,0.00000
557000.00000,7133460.00000,430.42740,-0.38263,0.00000
557020.00000,7133460.00000,430.42740,-0.44655,0.00000
557040.00000,7133460.00000,428.63960,-0.52473,0.00000
557060.00000,7133460.00000,427.49520,-0.62140,0.00000
557080.00000,7133460.00000,426.94070,-0.73990,0.00000
557100.00000,7133460.00000,426.81730,-0.88137,0.00000
557120.00000,7133460.00000,426.81730,-1.04197,0.00000
557140.00000,7133460.00000,426.89770,-1.20901,0.00000
557160.00000,7133460.00000,426.98120,-1.36555,0.00000
557180.00000,7133460.00000,427.01270,-1.49840,0.00000
557200.00000,7133460.00000,427.01270,-1.60135,0.00000
557220.00000,7133460.00000,427.01270,-1.67419,0.00000
557240.00000,7133460.00000,427.00390,-1.71842,0.00000
557260.00000,7133460.00000,427.00340,-1.73067,0.00000
557280.00000,7133460.00000,427.00340,-1.70264,0.00000
557300.00000,7133460.00000,427.00830,-1.62918,0.00000
557320.00000,7133460.00000,426.99130,-1.51361,0.00000
557340.00000,7133460.00000,426.93790,-1.36657,0.00000
557360.00000,7133460.00000,426.93790,-1.20658,0.00000
557380.00000,7133460.00000,426.86960,-1.05640,0.00000
557400.00000,7133460.00000,426.90120,-0.92705,0.00000
557420.00000,7133460.00000,427.18730,-0.81825,0.00000
557440.00000,7133460.00000,427.18730,-0.72498,0.00000
557460.00000,7133460.00000,427.84010,-0.64329,0.00000
557480.00000,7133460.00000,428.78010,-0.57017,0.00000
557500.00000,7133460.00000,429.88050,-0.50398,0.00000
557520.00000,7133460.00000,429.88050,-0.44265,0.00000
557540.00000,7133460.00000,431.00120,-0.38893,0.00000
557560.00000,7133460.00000,432.07370,-0.34127,0.00000
557580.00000,7133460.00000,433.05250,-0.29938,0.00000
557600.00000,7133460.00000,433.05250,-0.26195,0.00000
557000.00000,7133480.00000,430.42740,-0.39478,0.00000
557020.00000,7133480.00000,430.42740,-0.46208,0.00000
557040.00000,7133480.00000,428.63960,-0.54487,0.00000
557060.00000,7133480.00000,427.49520,-0.64774,0.00000
557080.00000,7133480.00000,426.94070,-0.77444,0.00000
557100.00000,7133480.00000,426.81730,-0.92631,0.00000
557120.00000,7133480.00000,426.81730,-1.09901,0.00000
557140.00000,7133480.00000,426.89770,-1.27823,0.00000
557160.00000,7133480.00000,426.98120,-1.44555,0.00000
557180.00000,7133480.00000,427.01270,-1.58781,0.00000
557200.00000,7133480.00000,427.01270,-1.69896,0.00000
557220.00000,7133480.00000,427.01270,-1.77818,0.00000
557240.00000,7133480.00000,427.00390,-1.82720,0.00000
557260.00000,7133480.00000,427.00340,-1.84462,0.00000
557280.00000,7133480.00000,427.00340,-1.82365,0.00000
557300.00000,7133480.00000,427.00830,-1.75790,0.00000
557320.00000,7133480.00000,426.99130,-1.64841,0.00000
557340.00000,7133480.00000,426.93790,-1.50353,0.00000
557360.00000,7133480.00000,426.93790,-1.34026,0.00000
557380.00000,7133480.00000,426.86960,-1.18304,0.00000
557400.00000,7133480.00000,426.90120,-1.04546,0.00000
557420.00000,7133480.00000,427.18730,-0.92817,0.00000
557440.00000,7133480.00000,427.18730,-0.82594,0.00000
557460.00000,7133480.00000,427.84010,-0.73382,0.00000
557480.00000,7133480.00000,428.78010,-0.64885,0.00000
557500.00000,7133480.00000,429.88050,-0.57015,0.00000
557520.00000,7133480.00000,429.88050,-0.49671,0.00000
557540.00000,7133480.00000,431.00120,-0.43208,0.00000
557560.00000,7133480.00000,432.07370,-0.37518,0.00000
557580.00000,7133480.00000,433.05250,-0.32577,0.00000
557600.00000,7133480.00000,433.05250,-0.28234,0.00000
557000.00000,7133500.00000,430.78390,-0.40250,0.00000
557020.00000,7133500.00000,430.78390,-0.47158,0.00000
557040.00000,7133500.00000,428.85640,-0.55664,0.00000
557060.00000,7133500.00000,427.60250,-0.66240,0.00000
557080.00000,7133500.00000,426.96420,-0.79269,0.00000
557100.00000,7133500.00000,426.80730,-0.94896,0.00000
557120.00000,7133500.00000,426.80730,-1.12717,0.00000
557140.00000,7133500.00000,426.87720,-1.31362,0.00000
557160.00000,7133500.00000,426.96870,-1.48953,0.00000
557180.00000,7133500.00000,427.01220,-1.64085,0.00000
557200.00000,7133500.00000,427.01220,-1.76060,0.00000
557220.00000,7133500.00000,427.01150,-1.84691,0.00000
557240.00000,7133500.00000,427.00330,-1.90118,0.00000
557260.00000,7133500.00000,427.00400,-1.92335,0.00000
557280.00000,7133500.00000,427.00400,-1.90937,0.00000
557300.00000,7133500.00000,427.00940,-1.85355,0.00000
557320.00000,7133500.00000,426.99540,-1.75541,0.00000
557340.00000,7133500.00000,426.94320,-1.62183,0.00000
557360.00000,7133500.00000,426.94320,-1.46791,0.00000
557380.00000,7133500.00000,426.87210,-1.31615,0.00000
557400.00000,7133500.00000,426.87720,-1.17982,0.00000
557420.00000,7133500.00000,427.15010,-1.06008,0.00000
557440.00000,7133500.00000,427.15010,-0.95207,0.00000
557460.00000,7133500.00000,427.79720,-0.84925,0.00000
557480.00000,7133500.00000,428.80380,-0.74915,0.00000
557500.00000,7133500.00000,430.01430,-0.65310,0.00000
557520.00000,7133500.00000,430.01430,-0.56286,0.00000
557540.00000,7133500.00000,431.24350,-0.48342,0.00000
557560.00000,7133500.00000,432.38970,-0.41438,0.00000
557580.00000,7133500.00000,433.42220,-0.35543,0.00000
557600.00000,7133500.00000,433.42220,-0.30461,0.00000
557000.00000,7133520.00000,430.97810,-0.40539,0.00000
557020.00000,7133520.00000,430.97810,-0.47473,0.00000
557040.00000,7133520.00000,429.00450,-0.55983,0.00000
557060.00000,7133520.00000,427.68250,-0.66527,0.00000
557080.00000,7133520.00000,426.98860,-0.79472,0.00000
557100.00000,7133520.00000,426.79380,-0.94977,0.00000
557120.00000,7133520.00000,426.79380,-1.12738,0.00000
557140.00000,7133520.00000,426.85480,-1.31626,0.00000
557160.00000,7133520.00000,426.94870,-1.49869,0.00000
557180.00000,7133520.00000,427.00590,-1.65893,0.00000
557200.00000,7133520.00000,427.00590,-1.78796,0.00000
557220.00000,7133520.00000,427.01130,-1.88262,0.00000
557240.00000,7133520.00000,427.00280,-1.94417,0.00000
557260.00000,7133520.00000,427.00550,-1.97296,0.00000
557280.00000,7133520.00000,427.00550,-1.96761,0.00000
557300.00000,7133520.00000,427.01100,-1.92476,0.00000
557320.00000,7133520.00000,426.99670,-1.84369,0.00000
557340.00000,7133520.00000,426.94230,-1.72980,0.00000
557360.00000,7133520.00000,426.94230,-1.59577,0.00000
557380.00000,7133520.00000,426.86880,-1.46113,0.00000
557400.00000,7133520.00000,426.85490,-1.33709,0.00000
557420.00000,7133520.00000,427.10130,-1.22374,0.00000
557440.00000,7133520.00000,427.10130,-1.11619,0.00000
557460.00000,7133520.00000,427.73890,-1.00345,0.00000
557480.00000,7133520.00000,428.78480,-0.88194,0.00000
557500.00000,7133520.00000,430.08500,-0.75930,0.00000
557520.00000,7133520.00000,430.08500,-0.64477,0.00000
557540.00000,7133520.00000,431.42660,-0.54460,0.00000
557560.00000,7133520.00000,432.68040,-0.45932,0.00000
557580.00000,7133520.00000,433.78680,-0.38807,0.00000
557600.00000,7133520.00000,433.78680,-0.32818,0.00000
557000.00000,7133540.00000,431.00160,-0.40352,0.00000
557020.00000,7133540.00000,431.00160,-0.47172,0.00000
557040.00000,7133540.00000,429.08670,-0.55490,0.00000
557060.00000,7133540.00000,427.73650,-0.65735,0.00000
557080.00000,7133540.00000,427.01240,-0.78246,0.00000
557100.00000,7133540.00000,426.79130,-0.93207,0.00000
557120.00000,7133540.00000,426.79130,-1.10451,0.00000
557140.00000,7133540.00000,426.84000,-1.29177,0.00000
557160.00000,7133540.00000,426.93690,-1.47802,0.00000
557180.00000,7133540.00000,426.99560,-1.64589,0.00000
557200.00000,7133540.00000,426.99560,-1.78370,0.00000
557220.00000,7133540.00000,427.00890,-1.88747,0.00000
557240.00000,7133540.00000,427.00450,-1.95860,0.00000
557260.00000,7133540.00000,427.00500,-1.99774,0.00000
557280.00000,7133540.00000,427.00500,-2.00529,0.00000
557300.00000,7133540.00000,427.01160,-1.98000,0.00000
557320.00000,7133540.00000,427.00320,-1.92078,0.00000
557340.00000,7133540.00000,426.94940,-1.83180,0.00000
557360.00000,7133540.00000,426.94940,-1.72452,0.00000
557380.00000,7133540.00000,426.86650,-1.61695,0.00000
557400.00000,7133540.00000,426.84500,-1.51741,0.00000
557420.00000,7133540.00000,427.06110,-1.42272,0.00000
557440.00000,7133540.00000,427.06110,-1.32811,0.00000
557460.00000,7133540.00000,427.67830,-1.21176,0.00000
557480.00000,7133540.00000,428.74550,-1.05967,0.00000
557500.00000,7133540.00000,430.10430,-0.89527,0.00000
557520.00000,7133540.00000,430.10430,-0.74627,0.00000
557540.00000,7133540.00000,431.55370,-0.61771,0.00000
557560.00000,7133540.00000,432.91620,-0.51066,0.00000
557580.00000,7133540.00000,434.12480,-0.42351,0.00000
557600.00000,7133540.00000,434.12480,-0.35251,0.00000
557000.00000,7133560.00000,430.91440,-0.39724,0.00000
557020.00000,7133560.00000,430.91440,-0.46310,0.00000
557040.00000,7133560.00000,429.09960,-0.54278,0.00000
557060.00000,7133560.00000,427.79620,-0.64022,0.00000
557080.00000,7133560.00000,427.05940,-0.75861,0.00000
557100.00000,7133560.00000,426.80660,-0.90014,0.00000
557120.00000,7133560.00000,426.80660,-1.06465,0.00000
557140.00000,7133560.00000,426.83990,-1.24729,0.00000
557160.00000,7133560.00000,426.93500,-1.43417,0.00000
557180.00000,7133560.00000,426.99200,-1.60663,0.00000
557200.00000,7133560.00000,426.99200,-1.75107,0.00000
557220.00000,7133560.00000,427.00750,-1.86334,0.00000
557240.00000,7133560.00000,427.00520,-1.94500,0.00000
557260.00000,7133560.00000,427.00610,-1.99699,0.00000
557280.00000,7133560.00000,427.00610,-2.02105,0.00000
557300.00000,7133560.00000,427.01200,-2.01699,0.00000
557320.00000,7133560.00000,426.99980,-1.98241,0.00000
557340.00000,7133560.00000,426.94850,-1.91989,0.00000
557360.00000,7133560.00000,426.94850,-1.84132,0.00000
557380.00000,7133560.00000,426.86960,-1.76577,0.00000
557400.00000,7133560.00000,426.83730,-1.69943,0.00000
557420.00000,7133560.00000,427.03680,-1.63466,0.00000
557440.00000,7133560.00000,427.03680,-1.56862,0.00000
557460.00000,7133560.00000,427.64760,-1.46498,0.00000
557480.00000,7133560.00000,428.70600,-1.28159,0.00000
557500.00000,7133560.00000,430.09120,-1.06062,0.00000
557520.00000,7133560.00000,430.09120,-0.86937,0.00000
557540.00000,7133560.00000,431.61300,-0.70462,0.00000
557560.00000,7133560.00000,433.08970,-0.56856,0.00000
557580.00000,7133560.00000,434.42190,-0.46074,0.00000
557600.00000,7133560.00000,434.42190,-0.37647,0.00000
557000.00000,7133580.00000,430.91440,-0.38711,0.00000
557020.00000,7133580.00000,430.91440,-0.44964,0.00000
557040.00000,7133580.00000,429.09960,-0.52461,0.00000
557060.00000,7133580.00000,427.79620,-0.61566,0.00000
557080.00000,7133580.00000,427.05940,-0.72574,0.00000
557100.00000,7133580.00000,426.80660,-0.85733,0.00000
557120.00000,7133580.00000,426.80660,-1.01167,0.00000
557140.00000,7133580.00000,426.83990,-1.18648,0.00000
557160.00000,7133580.00000,426.93500,-1.37005,0.00000
557180.00000,7133580.00000,426.99200,-1.54326,0.00000
557200.00000,7133580.00000,426.99200,-1.69164,0.00000
557220.00000,7133580.00000,427.00750,-1.81092,0.00000
557240.00000,7133580.00000,427.00520,-1.90245,0.00000
557260.00000,7133580.00000,427.00610,-1.96751,0.00000
557280.00000,7133580.00000,427.00610,-2.00846,0.00000
557300.00000,7133580.00000,427.01200,-2.02544,0.00000
557320.00000,7133580.00000,426.99980,-2.01492,0.00000
557340.00000,7133580.00000,426.94850,-1.97812,0.00000
557360.00000,7133580.00000,426.94850,-1.92685,0.00000
557380.00000,7133580.00000,426.86960,-1.88182,0.00000
557400.00000,7133580.00000,426.83730,-1.84913,0.00000
557420.00000,7133580.00000,427.03680,-1.82105,0.00000
557440.00000,7133580.00000,427.03680,-1.79228,0.00000
557460.00000,7133580.00000,427.64760,-1.70101,0.00000
557480.00000,7133580.00000,428.70600,-1.49899,0.00000
557500.00000,7133580.00000,430.09120,-1.23457,0.00000
557520.00000,7133580.00000,430.09120,-1.00714,0.00000
557540.00000,7133580.00000,431.61300,-0.80266,0.00000
557560.00000,7133580.00000,433.08970,-0.62986,0.00000
557580.00000,7133580.00000,434.42190,-0.49639,0.00000
557600.00000,7133580.00000,434.42190,-0.39752,0.00000
557000.00000,7133600.00000,430.80190,-0.37368,0.00000
557020.00000,7133600.00000,430.80190,-0.43219,0.00000
557040.00000,7133600.00000,429.09730,-0.50162,0.00000
557060.00000,7133600.00000,427.83800,-0.58528,0.00000
557080.00000,7133600.00000,427.09280,-0.68583,0.00000
557100.00000,7133600.00000,426.82410,-0.80578,0.00000
557120.00000,7133600.00000,426.82410,-0.94699,0.00000
557140.00000,7133600.00000,426.83800,-1.10906,0.00000
557160.00000,7133600.00000,426.93510,-1.28309,0.00000
557180.00000,7133600.00000,426.99320,-1.45227,0.00000
557200.00000,7133600.00000,426.99320,-1.60246,0.00000
557220.00000,7133600.00000,427.00750,-1.72794,0.00000
557240.00000,7133600.00000,427.00430,-1.82894,0.00000
557260.00000,7133600.00000,427.00490,-1.90661,0.00000
