X,Y,Z,TMI_nT,Error_Est
557540.00000,7133400.00000,445.35650,-3.71251,1.00000
557560.00000,7133400.00000,446.26340,-3.45031,1.00000
557580.00000,7133400.00000,447.06730,-4.06640,1.00000
557600.00000,7133400.00000,447.06730,-3.35644,1.00000
557000.00000,7133420.00000,444.64780,0.30801,1.00000
557020.00000,7133420.00000,444.64780,2.35421,1.00000
557040.00000,7133420.00000,443.22580,2.73713,1.00000
557060.00000,7133420.00000,442.30550,5.24338,1.00000
557080.00000,7133420.00000,441.86120,9.32012,1.00000
557100.00000,7133420.00000,441.79770,15.33424,1.00000
557120.00000,7133420.00000,441.79770,21.44886,1.00000
557140.00000,7133420.00000,441.88630,28.58619,1.00000
557160.00000,7133420.00000,441.97050,33.39784,1.00000
557180.00000,7133420.00000,442.01180,37.80895,1.00000
557200.00000,7133420.00000,442.01180,42.06526,1.00000
557220.00000,7133420.00000,442.01260,45.35481,1.00000
557240.00000,7133420.00000,442.00460,48.72728,1.00000
557260.00000,7133420.00000,442.00740,46.01985,1.00000
557280.00000,7133420.00000,442.00740,42.57190,1.00000
557300.00000,7133420.00000,442.00990,37.24460,1.00000
557320.00000,7133420.00000,441.98740,28.85319,1.00000
557340.00000,7133420.00000,441.93160,23.25816,1.00000
557360.00000,7133420.00000,441.93160,14.62920,1.00000
557380.00000,7133420.00000,441.89310,11.63424,1.00000
557400.00000,7133420.00000,441.97310,6.62210,1.00000
557420.00000,7133420.00000,442.28540,4.19093,1.00000
557440.00000,7133420.00000,442.28540,1.40941,1.00000
557460.00000,7133420.00000,442.85530,0.85862,1.00000
557480.00000,7133420.00000,443.64350,-0.70407,1.00000
557500.00000,7133420.00000,444.56120,-0.26489,1.00000
557520.00000,7133420.00000,444.56120,-2.03455,1.00000
557540.00000,7133420.00000,445.53940,-2.35991,1.00000
557560.00000,7133420.00000,446.50840,-3.18398,1.00000
557580.00000,7133420.00000,447.38590,-2.89634,1.00000
557600.00000,7133420.00000,447.38590,-4.42256,1.00000
557000.00000,7133440.00000,445.00790,2.91457,1.00000
557020.00000,7133440.00000,445.00790,3.59898,1.00000
557040.00000,7133440.00000,443.41660,6.13439,1.00000
557060.00000,7133440.00000,442.39210,6.95132,1.00000
557080.00000,7133440.00000,441.90230,11.26518,1.00000
557100.00000,7133440.00000,441.80960,17.52800,1.00000
557120.00000,7133440.00000,441.80960,25.13798,1.00000
557140.00000,7133440.00000,441.89580,33.70773,1.00000
557160.00000,7133440.00000,441.97650,40.29398,1.00000
557180.00000,7133440.00000,442.01400,47.30266,1.00000
557200.00000,7133440.00000,442.01400,48.65905,1.00000
557220.00000,7133440.00000,442.01160,51.74582,1.00000
557240.00000,7133440.00000,442.00390,54.23183,1.00000
557260.00000,7133440.00000,442.00590,54.06581,1.00000
557280.00000,7133440.00000,442.00590,50.06602,1.00000
557300.00000,7133440.00000,442.00880,47.02951,1.00000
557320.00000,7133440.00000,441.98820,38.39552,1.00000
557340.00000,7133440.00000,441.92960,31.36305,1.00000
557360.00000,7133440.00000,441.92960,22.31967,1.00000
557380.00000,7133440.00000,441.87930,16.65255,1.00000
557400.00000,7133440.00000,441.93390,11.59981,1.00000
557420.00000,7133440.00000,442.23700,6.21327,1.00000
557440.00000,7133440.00000,442.23700,4.52869,1.00000
557460.00000,7133440.00000,442.85790,1.44528,1.00000
557480.00000,7133440.00000,443.72210,2.32529,1.00000
557500.00000,7133440.00000,444.71990,-1.42990,1.00000
557520.00000,7133440.00000,444.71990,-1.99766,1.00000
557540.00000,7133440.00000,445.75800,-1.25405,1.00000
557560.00000,7133440.00000,446.77210,-3.43736,1.00000
557580.00000,7133440.00000,447.70280,-4.53045,1.00000
557600.00000,7133440.00000,447.70280,-4.86121,1.00000
557000.00000,7133460.00000,445.42740,1.46230,1.00000
557020.00000,7133460.00000,445.42740,1.01332,1.00000
557040.00000,7133460.00000,443.63960,3.54550,1.00000
557060.00000,7133460.00000,442.49520,7.72062,1.00000
557080.00000,7133460.00000,441.94070,12.95881,1.00000
557100.00000,7133460.00000,441.81730,18.32420,1.00000
557120.00000,7133460.00000,441.81730,26.85206,1.00000
557140.00000,7133460.00000,441.89770,36.13321,1.00000
557160.00000,7133460.00000,441.98120,44.06928,1.00000
557180.00000,7133460.00000,442.01270,51.51115,1.00000
557200.00000,7133460.00000,442.01270,54.47597,1.00000
557220.00000,7133460.00000,442.01270,58.77631,1.00000
557240.00000,7133460.00000,442.00390,60.35856,1.00000
557260.00000,7133460.00000,442.00340,60.46894,1.00000
557280.00000,7133460.00000,442.00340,59.90904,1.00000
557300.00000,7133460.00000,442.00830,54.66739,1.00000
557320.00000,7133460.00000,441.99130,47.46858,1.00000
557340.00000,7133460.00000,441.93790,37.33047,1.00000
557360.00000,7133460.00000,441.93790,29.66144,1.00000
557380.00000,7133460.00000,441.86960,18.99554,1.00000
557400.00000,7133460.00000,441.90120,15.75969,1.00000
557420.00000,7133460.00000,442.18730,11.51349,1.00000
557440.00000,7133460.00000,442.18730,6.50124,1.00000
557460.00000,7133460.00000,442.84010,4.20114,1.00000
557480.00000,7133460.00000,443.78010,3.79512,1.00000
557500.00000,7133460.00000,444.88050,2.47749,1.00000
557520.00000,7133460.00000,444.88050,1.23823,1.00000
557540.00000,7133460.00000,446.00120,-1.71685,1.00000
557560.00000,7133460.00000,447.07370,-2.68391,1.00000
557580.00000,7133460.00000,448.05250,-2.02391,1.00000
557600.00000,7133460.00000,448.05250,-3.59274,1.00000
557000.00000,7133480.00000,445.42740,0.68822,1.00000
557020.00000,7133480.00000,445.42740,1.85440,1.00000
557040.00000,7133480.00000,443.63960,3.76357,1.00000
557060.00000,7133480.00000,442.49520,8.28140,1.00000
557080.00000,7133480.00000,441.94070,12.08541,1.00000
557100.00000,7133480.00000,441.81730,19.71076,1.00000
557120.00000,7133480.00000,441.81730,30.01230,1.00000
557140.00000,7133480.00000,441.89770,38.41331,1.00000
557160.00000,7133480.00000,441.98120,48.24815,1.00000
